### COMPONENT INVENTORY (200)
sheet | ref | value | lib_id | footprint | extra_fields
CH1 | C2 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH1 | C20 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH1 | C21 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH1 | C22 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C23 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH1 | C24 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C25 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C26 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C27 | 4.7nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=50V
CH1 | C3 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH1 | C4 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH1 | C5 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | C6 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | C7 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | C8 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH1 | D1 | ES1D | Device:D | Diode_SMD:D_SMA_Handsoldering | Sim.Device=D Sim.Pins=1=K 2=A
CH1 | D2 | 5.0SMDJ70A | Device:D_Zener | Diode_SMD:D_SMC_Handsoldering | 
CH1 | D3 | ES1D | Device:D | Diode_SMD:D_SMA_Handsoldering | Sim.Device=D Sim.Pins=1=K 2=A
CH1 | D4 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH1 | D5 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH1 | D6 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH1 | D7 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH1 | Q1 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH1 | Q2 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH1 | Q3 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH1 | Q4 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH1 | R1 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH1 | R10 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH1 | R11 | 0.5m | Device:R_Shunt | Resistor_SMD:R_Shunt_Vishay_WSK2512_6332Metric_T2.66mm | MPN=WSK2512L5000FEA Tolerance=1%
CH1 | R12 | 10R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R13 | 10R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R14 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | Tolerance=1%
CH1 | R15 | 43k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | Tolerance=1%
CH1 | R16 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | Tolerance=1%
CH1 | R17 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R18 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R19 | 3.3k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R2 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH1 | R20 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R21 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R22 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R23 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R24 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R25 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R26 | 1k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R27 | 1k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R3 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R4 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R5 | 1R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R6 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R7 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R8 | 1R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH1 | R9 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH1 | U1 | IR2184 | Driver_FET:IR2184 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=IR2184SPBF
CH1 | U2 | IR2184 | Driver_FET:IR2184 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=IR2184SPBF
CH1 | U3 | INA240A2D | Amplifier_Current:INA240A2D | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | 
CH1 | U4 | LM2903B | Comparator:LM393 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=LM2903BDR
CH1 | U4 | LM2903B | Comparator:LM393 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=LM2903BDR
CH1 | U4 | LM2903B | Comparator:LM393 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=LM2903BDR
CH1 | U5 | 74HCT74 | 74xx:74HCT74 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | 
CH1 | U5 | 74HCT74 | 74xx:74HCT74 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | 
CH1 | U5 | 74HCT74 | 74xx:74HCT74 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | 
CH1 | U6 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH1 | U6 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH1 | U6 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH1 | U6 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH1 | U6 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH2 | C211 | 1nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=50V
CH2 | C212 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C213 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH2 | C214 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C215 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C216 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C217 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH2 | C218 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH2 | C219 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C220 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C221 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C222 | 1uF | Device:C | Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder | Voltage=100V
CH2 | C223 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH2 | C224 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C225 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH2 | C226 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C227 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C228 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH2 | C229 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=100V
CH2 | C230 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C231 | 1uF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C232 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C235 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C237 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
CH2 | C239 | 4.7nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=50V
CH2 | D203 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH2 | D204 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH2 | D205 | 5.0SMDJ70A | Device:D_Zener | Diode_SMD:D_SMC_Handsoldering | 
CH2 | D206 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH2 | D207 | 1N4148W | Device:D | Diode_SMD:D_SOD-123 | Sim.Device=D Sim.Pins=1=K 2=A
CH2 | D208 | ES1D | Device:D | Diode_SMD:D_SMA_Handsoldering | Sim.Device=D Sim.Pins=1=K 2=A
CH2 | D209 | ES1D | Device:D | Diode_SMD:D_SMA_Handsoldering | Sim.Device=D Sim.Pins=1=K 2=A
CH2 | Q201 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH2 | Q202 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH2 | Q203 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH2 | Q204 | IRF100B201 | Transistor_FET:Q_NMOS_GDS | Package_TO_SOT_THT:TO-220-3_Vertical | MPN=IRF100B201
CH2 | R210 | 10R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R211 | 10R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R212 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R213 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R214 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH2 | R215 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH2 | R216 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R217 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R218 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | Tolerance=1%
CH2 | R219 | 0.5m | Device:R_Shunt | Resistor_SMD:R_Shunt_Vishay_WSK2512_6332Metric_T2.66mm | MPN=WSK2512L5000FEA Tolerance=1%
CH2 | R220 | 43k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | Tolerance=1%
CH2 | R221 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | Tolerance=1%
CH2 | R222 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R223 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R224 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R225 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R226 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH2 | R227 | 10R | Device:R | Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder | 
CH2 | R228 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R229 | 4.7R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R230 | 3.3k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R231 | 1R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R232 | 1R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R234 | 1k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R236 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R238 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | R240 | 1k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
CH2 | U203 | INA240A2D | Amplifier_Current:INA240A2D | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | 
CH2 | U204 | LM2903B | Comparator:LM393 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=LM2903BDR
CH2 | U204 | LM2903B | Comparator:LM393 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=LM2903BDR
CH2 | U204 | LM2903B | Comparator:LM393 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=LM2903BDR
CH2 | U205 | 74HCT74 | 74xx:74HCT74 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | 
CH2 | U205 | 74HCT74 | 74xx:74HCT74 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | 
CH2 | U205 | 74HCT74 | 74xx:74HCT74 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | 
CH2 | U206 | IR2184 | Driver_FET:IR2184 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=IR2184SPBF
CH2 | U207 | IR2184 | Driver_FET:IR2184 | Package_SO:SOIC-8_3.9x4.9mm_P1.27mm | MPN=IR2184SPBF
CH2 | U208 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH2 | U208 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH2 | U208 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH2 | U208 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
CH2 | U208 | 74HCT132 | 74xx:74LS132 | Package_SO:SOIC-14_3.9x8.7mm_P1.27mm | MPN=74HCT132D,653
IO_PROTECT | C201 | 220uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D8.0mm_P3.50mm | Voltage=25V
IO_PROTECT | C202 | 220uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D8.0mm_P3.50mm | Voltage=25V
IO_PROTECT | C203 | 10uF | Device:C | Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder | Voltage=25V
IO_PROTECT | C204 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
IO_PROTECT | C205 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
IO_PROTECT | C206 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
IO_PROTECT | C207 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
IO_PROTECT | C208 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
IO_PROTECT | C209 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
IO_PROTECT | C210 | 100nF | Device:C | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | Voltage=25V
IO_PROTECT | C233 | 220uF | Device:C_Polarized | Capacitor_THT:CP_Radial_D8.0mm_P3.50mm | Voltage=25V
IO_PROTECT | D201 | SS34 | Device:D_Schottky | Diode_SMD:D_SMA_Handsoldering | 
IO_PROTECT | D202 | SS34 | Device:D_Schottky | Diode_SMD:D_SMA_Handsoldering | 
IO_PROTECT | J201 | RAILS IN | Connector_Generic:Conn_01x04 | Connector_Molex:Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal | MPN=43650-0400
IO_PROTECT | J202 | CONTROL | Connector_Generic:Conn_02x08_Odd_Even | Connector_Molex:Molex_Micro-Fit_3.0_43045-1600_2x08_P3.00mm_Horizontal | MPN=43045-1600
IO_PROTECT | J203 | YOKE 1 | Connector_Generic:Conn_01x02 | lev_lib:389690002 | MPN=38969-0002
IO_PROTECT | J204 | YOKE 2 | Connector_Generic:Conn_01x02 | lev_lib:389690002 | MPN=38969-0002
IO_PROTECT | R201 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R202 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R203 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R204 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R205 | 100R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R206 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R207 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R208 | 100R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R209 | 100R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R241 | 15k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R242 | 15k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R243 | 100R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R244 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R245 | 100R | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | R246 | 10k | Device:R | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 
IO_PROTECT | U201 | 74LVC2G17 | 74xGxx:74LVC2G17 | Package_TO_SOT_SMD:SOT-23-6 | 
IO_PROTECT | U201 | 74LVC2G17 | 74xGxx:74LVC2G17 | Package_TO_SOT_SMD:SOT-23-6 | 
IO_PROTECT | U201 | 74LVC2G17 | 74xGxx:74LVC2G17 | Package_TO_SOT_SMD:SOT-23-6 | 
IO_PROTECT | U202 | 74LVC2G17 | 74xGxx:74LVC2G17 | Package_TO_SOT_SMD:SOT-23-6 | 
IO_PROTECT | U202 | 74LVC2G17 | 74xGxx:74LVC2G17 | Package_TO_SOT_SMD:SOT-23-6 | 
IO_PROTECT | U202 | 74LVC2G17 | 74xGxx:74LVC2G17 | Package_TO_SOT_SMD:SOT-23-6 | 

### NETS (99)
(unnamed)        [2]  D1.2(A,passive), R5.2(,passive)
(unnamed)        [2]  D203.1(K,passive), R212.1(,passive)
(unnamed)        [2]  D204.1(K,passive), R213.1(,passive)
(unnamed)        [2]  D206.1(K,passive), R228.1(,passive)
(unnamed)        [2]  D207.1(K,passive), R229.1(,passive)
(unnamed)        [2]  D208.2(A,passive), R231.2(,passive)
(unnamed)        [2]  D209.2(A,passive), R232.2(,passive)
(unnamed)        [2]  D3.2(A,passive), R8.2(,passive)
(unnamed)        [2]  D4.1(K,passive), R21.1(,passive)
(unnamed)        [2]  D5.1(K,passive), R20.1(,passive)
(unnamed)        [2]  D6.1(K,passive), R23.1(,passive)
(unnamed)        [2]  D7.1(K,passive), R22.1(,passive)
(unnamed)        [1]  U205.5(Q,output)
(unnamed)        [1]  U205.8(~{Q},output)
(unnamed)        [1]  U205.9(Q,output)
(unnamed)        [1]  U5.5(Q,output)
(unnamed)        [1]  U5.8(~{Q},output)
(unnamed)        [1]  U5.9(Q,output)
+12V             [23]  C1.1(,passive), C17.1(,passive), C18.1(,passive), C2.1(,passive), C201.1(,passive), C204.1(,passive), C21.2(,passive), C218.2(,passive), C227.1(,passive), C228.1(,passive), C229.1(,passive), C230.1(,passive), D201.1(K,passive), R231.1(,passive), R232.1(,passive), R5.1(,passive), R8.1(,passive), U1.5(VCC,power_in), U2.5(VCC,power_in), U204.8(V+,power_in), U206.5(VCC,power_in), U207.5(VCC,power_in), U4.8(V+,power_in)
+12V_IN          [2]  D201.2(A,passive), J201.1(Pin_1,passive)
